"","lon","lat","location"
"1",-3.7123039,40.4059778,"CALLE DE TOLEDO 120 "
"2",-3.6054165,40.4482602,"CALLE DE MEQUINENZA 14 "
"3",-3.7092715,40.4174025,"CALLE DE LA ESCALINATA 8 "
"4",-3.7082424,40.4152041,"CALLE DE LA CAVA DE SAN MIGUEL 13 "
"5",-3.7358665,40.4336687,"PUENTE DE LOS FRANCESES NA "
"6",-3.769469,40.3990229,"CARRETERA DE BOADILLA DEL MONTE 27 "
"7",-3.6990892,40.4543492,"CALLE DE LA INFANTA MERCEDES 27 "
"8",NA,NA,"CALLE DE ANTONIO DE CABEZON 91 "
"9",NA,NA,"CUESTA DE LA VEGA - PASEO DE LA CIUDAD DE PLASENCIA NA "
"10",NA,NA,"CALLE DE AREVALO LARA - CALLE DE TAMPICO NA "
"11",NA,NA,"CALLE DE SAN FELIPE NERI - PLAZA DE LOS HERRADORES NA "
"12",NA,NA,"CALLE DE LA RIBERA DEL SENA - GLORIETA DE LUXEMBURGO NA "
"13",NA,NA,"CALLE DE FREUD - CALLE DE MARX NA "
"14",NA,NA,"RONDA DE TOLEDO 14 "
"15",-3.7113689,40.4138092,"CALLE DE SEGOVIA 16 "
"16",NA,NA,"CALLE DE BRAVO MURILLO 101 "
"17",NA,NA,"CALLE DE LA GOLONDRINA - CALLE DE VALTRAVIESO NA "
"18",-3.6957682,40.4610997,"CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ NA "
"19",-3.6169642,40.4204115,"CALLE DE LA REPUBLICA CHECA 1 "
"20",-3.6920892,40.4182985,"CALLE DE MONTALBAN 1 "
"21",-3.7008823,40.4587089,"CALLE DE BRAVO MURILLO 243 "
"22",-3.7002595,40.4201626,"CALLE GRAN VIA 22 "
"23",-3.6911528,40.4194375,"CALLE DE ALCALA 52 "
"24",NA,NA,"CALLE DE GRAÑON - CALLE DE SAN JUAN DE ORTEGA NA "
"25",NA,NA,"AVENIDA DE LA DEMOCRACIA - BULEVAR DE JOSE PRAT NA "
"26",-3.6909271,40.4129047,"CALLE DE ESPALTER 3 "
"27",-3.6943243,40.3959229,"PASEO DE LAS DELICIAS 89 "
"28",NA,NA,"AVENIDA DE MANUEL AZAÑA - CARRETERA A LA ESTACION DE HORTALEZA NA "
"29",NA,NA,"CALLE DE JOSE SILVA - CALLE DE TORRELAGUNA NA "
"30",-3.6893584,40.4463167,"CALLE DE JOAQUIN COSTA 9 "
"31",-3.6874963,40.4707468,"PASEO DE LA CASTELLANA 244 "
"32",-3.7649522,40.4006459,"CARRIL ANILLO VERDE CICLISTA KM. 32000 "
"33",NA,NA,"CALLE DE GOYA 71 "
"34",NA,NA,"CALLE DE GUTIERREZ SOLANA - PASEO DE LA HABANA NA "
"35",NA,NA,"CALLE DE O'DONNELL 44 "
"36",-3.778788,40.411686,"CARRETERA DE RODAJOS NA "
"37",-3.6759117,40.4070263,"AVENIDA DEL MEDITERRANEO 16 "
"38",-3.69293,40.40848,"PLAZA DEL EMPERADOR CARLOS V 8 "
"39",NA,NA,"AVENIDA DE MACHUPICHU - CALLE DE JOSE MIGUEL GURIDI NA "
"40",-3.887755,40.8886527,"AVENIDA DEL MONASTERIO DE SILOS - CALLE DEL MONASTERIO DE EL PAULAR NA "
"41",-3.670286,40.4086691,"CALLE DEL DOCTOR ESQUERDO 114 "
"42",NA,NA,"PASEO DE VENEZUELA - PASEO DEL FERNAN NUÑEZ NA "
"43",NA,NA,"CALLE DEL MONASTERIO DE ARLANZA 27 "
"44",NA,NA,"CALLE DE CEDACEROS 4 "
"45",-3.6946425,40.416939,"PASEO DEL PRADO 6 "
"46",NA,NA,"AVENIDA DEL PLANETARIO - CALLE DE EROS NA "
"47",NA,NA,"CALLE MAYOR 70 "
"48",-3.6194912,40.4562715,"AVENIDA DE LOS ANDES - GLORIETA DE YUCATAN NA "
"49",-3.70321,40.438438,"CALLE DE BRAVO MURILLO - CALLE DE JOSE ABASCAL NA "
"50",NA,NA,"AUTOVIA M-30 CALZADA 2 - AVENIDA DE AMERICA NA "
"51",NA,NA,"CALLE DE SAN BERNARDO 5 "
"52",-3.625966,40.4264676,"AVENIDA DE ARCENTALES 7 "
"53",-3.6895114,40.4006278,"CALLE DE BUSTAMANTE - PASEO DE LAS DELICIAS NA "
"54",-3.6742279,40.4249911,"CALLE DE GOYA 97 "
"55",-3.7137603,40.4547694,"CALLE DEL ALMIRANTE FRANCISCO MORENO 13 "
"56",-3.7025434,40.4044291,"GLORIETA DE EMBAJADORES 5 "
"57",NA,NA,"CALLE DE TORIJA - PLAZA DE LA MARINA ESPAÑOLA NA "
"58",-3.6929963,40.4295488,"CALLE DE ZURBARAN - PASEO DE LA CASTELLANA NA "
"59",NA,NA,"AVENIDA DE MENENDEZ PELAYO 32 "
"60",NA,NA,"CALLE DE LOS BARROS - RONDA SUR NA "
"61",-3.7082607,40.4183747,"PLAZA DE SANTA CATALINA DE LOS DONADOS 3 "
"62",NA,NA,"AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS NA "
"63",NA,NA,"CALLE DE PRECIADOS 28 "
"64",-3.6765915,40.4245791,"CALLE DE ALCALA 149 "
"65",NA,NA,"CALLE DEL ARROYO DEL MONTE - PLAZA DE LA PRADERA DEL SACERAL NA "
"66",NA,NA,"PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA NA "
"67",-3.7003169,40.4602744,"CALLE DE LOS ALGODONALES 10 "
"68",-3.6944076,40.4194013,"CALLE DE ALCALA 51 "
"69",-3.6625715,40.4210745,"CALLE DEL ALCALDE SAINZ DE BARANDA 92 "
"70",-3.7311464,40.415269,"PASEO DE LA PUERTA DEL ANGEL 3 "
"71",NA,NA,"ACCESO A LA AUTOVIA M-40 - AVENIDA DE CANILLEJAS A VICALVARO NA "
"72",-3.6863644,40.4388619,"CALLE DE SERRANO 103 "
"73",NA,NA,"CALLE DE MALMOE - PLAZA DE ALSACIA NA "
"74",NA,NA,"CALLE DE NUESTRA SEÑORA DE VALVERDE 45 "
"75",-3.7226761,40.4633896,"CALLE DEL MIRADOR DE LA SIERRA 12 "
"76",NA,NA,"AUTOVIA M-40 - AVENIDA DE CANILLEJAS A VICALVARO NA "
"77",NA,NA,"AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE ARIADNA NA "
"78",NA,NA,"AVENIDA DE LOS POBLADOS - CALLE DE LAS CERILLERAS NA "
"79",-3.7165991,40.5042348,"CARRETERA DE PARDO A FUENCARRAL KM. 7 "
"80",-3.6999578,40.4328636,"CALLE DE SANTA FELICIANA 6 "
"81",NA,NA,"AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO NA "
"82",NA,NA,"CALLE DE ZAIDA - CALLE DEL ARROYO VALDECELADA NA "
"83",NA,NA,"PASEO DE CAMOENS Y VALERO NA "
"84",NA,NA,"CALLE DE GUZMAN EL BUENO - CALLE DEL GENERAL ASENSIO CABANILLAS NA "
"85",-3.6054104,40.3669113,"AVENIDA DE LA GAVIA - AVENIDA DEL CERRO MILANO NA "
"86",-3.7124119,40.3457982,"PASEO DE ALBERTO PALACIOS 34 "
"87",-3.6844995,40.4152606,"PARQUE DEL RETIRO NA "
"88",-3.7024276,40.4172093,"PLAZA DE LA PUERTA DEL SOL 1 "
"89",NA,NA,"CALLE DE ZURBANO - PASEO DE EDUARDO DATO NA "
"90",-3.6870428,40.4250955,"CALLE DE GOYA - CALLE DE SERRANO NA "
"91",-3.6807496,40.405127,"AVENIDA DE MENENDEZ PELAYO 38 "
"92",-3.737319,40.3774839,"CALLE DE CARCASTILLO 25 "
"93",-3.6224136,40.4341675,"AVENIDA DE ARCENTALES - CALLE DE MIGUEL YUSTE NA "
"94",-3.6835924,40.4558136,"CALLE DE LOS CONDES DEL VAL 11 "
"95",NA,NA,"CALLE DE LOPE DE RUEDA - CALLE DE O'DONNELL NA "
"96",-3.6555032,40.4632264,"CARRETERA DE CANILLAS 10 "
"97",-3.707072,40.4261751,"CALLE DE SAN BERNARDO 59 "
"98",-3.6991767,40.4461361,"CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE 30 "
"99",-3.65999,40.37313,"AVENIDA DE LAS GLORIETAS 14 "
"100",-3.6961452,40.4282609,"CALLE DE GENOVA - PLAZA DE ALONSO MARTINEZ NA "
"101",-3.739573,40.388629,"CALLE DE LA OCA - CALLE DE RAMON SAINZ NA "
"102",-3.6964073,40.3429498,"CALLE DE SAN NORBERTO 8 "
"103",-3.7385101,40.4383179,"CARRETERA DE EL PARDO 7 "
"104",NA,NA,"PLAZA DE SANTA BARBARA 6 "
"105",NA,NA,"PLAZA DE LA ASAMBLEA DE MADRID NA "
"106",-3.68901,40.41209,"CALLE DE ALFONSO XII 52 "
"107",-3.7094414,40.4339296,"CALLE DE FERNANDO EL CATOLICO 25 "
"108",-3.695907,40.444509,"CALLE DE MARIA PANES - CALLE DE MODESTO LAFUENTE NA "
"109",-3.692037,40.4048545,"CALLE DE MURCIA - CALLE DE RAFAEL DE RIEGO NA "
"110",NA,NA,"CALLE DE EMERENCIANA ZURILLA - CALLE DE SAN RESTITUTO NA "
"111",-3.6606207,40.460056,"CALLE DE ARTURO SORIA - CUESTA DEL SAGRADO CORAZON NA "
"112",NA,NA,"AVENIDA DE LAS COMUNIDADES - BULEVAR DE JOSE PRAT NA "
"113",-3.735648,40.3821777,"CALLE DEL GENERAL RICARDOS 177 "
"114",-3.6875725,40.3555592,"CARRETERA DE VILLAVERDE A VALLECAS KM. 1300 "
"115",-3.7212096,40.4046273,"CALLE DE SAN ALEJANDRO 6 "
"116",NA,NA,"GLORIETA DE LOS PATINES - PASEO DE LA PUERTA DEL ANGEL NA "
"117",NA,NA,"CALLE DE BUGEDO - CALLE DE TRESPADERNE NA "
"118",-3.7649522,40.4006459,"CARRIL ANILLO VERDE CICLISTA KM. 43300 "
"119",-3.696855,40.453204,"AVENIDA DEL PRESIDENTE CARMONA - CALLE DE LOS MARTIRES DE LA VENTILLA NA "
"120",-3.704899,40.432597,"CALLE DE SAN BERNARDO - CALLE DE SAN VICENTE FERRER NA "
"121",-3.7034137,40.4955708,"CALLE DE LA COSTA BRAVA 17 "
"122",-3.702088,40.4041324,"CALLE DE EMBAJADORES 76 "
"123",NA,NA,"CALLE DE BRAVO MURILLO 288 "
"124",NA,NA,"PLAZA DE GABRIEL MIRO 3 "
"125",NA,NA,"CALLE DEL CABALLERO DE GRACIA 36 "
"126",NA,NA,"CALLE DE FRANCISCO SILVELA 50 "
"127",-3.7057433,40.4297496,"CALLE DE SAN BERNARDO - CALLE DEL PEZ NA "
"128",NA,NA,"PASEO DE SANTA MARIA DE LA CABEZA 10 "
"129",-3.700126,40.430221,"CALLE DE LUCHANA - GLORIETA DE BILBAO NA "
"130",-3.7185609,40.4136184,"CALLE DE SEGOVIA 57 "
"131",-3.7021743,40.4190307,"CALLE DE LA MONTERA - CALLE DE LOS JARDINES NA "
"132",-3.6969402,40.4098089,"PASEO DEL FERNAN NUÑEZ NA "
"133",-3.679343,40.4034777,"AVENIDA DE LA CIUDAD DE BARCELONA - CALLE DEL ALBERCHE NA "
"134",NA,NA,"AVENIDA DE LOS ANDES 46 "
"135",-3.7038134,40.4450219,"CALLE DE BRAVO MURILLO 80 "
"136",-3.715135,40.3481703,"PASEO DE LOS FERROVIARIOS 11 "
"137",-3.6629605,40.3691961,"BARRIO DE LA CELSA - CARRETERA DE VILLAVERDE A VALLECAS NA "
"138",-3.6864227,40.4279023,"CALLE DE AYALA 15 "
"139",NA,NA,"CALLE DE DOLORES BARRANCO - CALLE DE LOS FERROVIARIOS NA "
"140",NA,NA,"CALLE DE BOLIVAR - CALLE DEL BRONCE NA "
"141",NA,NA,"CALLE DE MOHERNANDO - CALLE DE PIO FELIPE NA "
"142",NA,NA,"PASEO DE SANTA MARIA DE LA CABEZA 23 "
"143",-3.6393556,40.4374678,"CALLE DE ALCALA 413 "
"144",NA,NA,"PASEO DE YESERIAS 29 "
"145",-3.6978161,40.4621601,"CALLE DE BRAVO MURILLO 299 "
"146",-3.6844995,40.4152606,"PARQUE DEL RETIRO - PASEO DEL FERNAN NUÑEZ NA "
"147",NA,NA,"AVENIDA DE LA PESETA - CALLE DEL LUIS DE ORO NA "
"148",-3.6552865,40.4585597,"CALLE DE BELISANA 17 "
"149",-3.6404248,40.5004371,"CALLE DE LUIS MARTINEZ FEDUCHI 1 "
"150",NA,NA,"CALLE DE ZURBANO - PASEO DE EDUARDO DATO NA "
"151",-3.6925684,40.4014911,"CALLE DE RAFAEL DE RIEGO 46 "
"152",-3.6668792,40.4287021,"CALLE DE ALCALA 160 "
"153",-3.6214517,40.3752071,"CALLE DE AMALIA MARCOS - CALLE DEL PUERTO DE PORZUNA NA "
"154",-3.7092543,40.4136065,"CALLE DE SEGOVIA 1 "
"155",-3.6468356,40.4298133,"CALLE DE LEDESMA - CALLE DE SERVANDO BATANERO NA "
"156",-3.7363981,40.4381745,"CALLE DE LA SENDA DEL REY NA "
"157",NA,NA,"CALLE DE CLAUDIO COELLO - CALLE DE JUAN BRAVO NA "
"158",NA,NA,"CALLE DEL PUENTE DE SEGOVIA - PASEO DE LA VIRGEN DEL PUERTO NA "
"159",NA,NA,"AVENIDA DEL MEDITERRANEO 28 "
"160",-3.707661,40.423015,"CALLE GRAN VIA - CALLE DE SAN BERNARDO NA "
"161",-3.7193166,40.3956848,"CALLE DEL GENERAL RICARDOS 37 "
"162",-3.7030272,40.4163172,"CALLE DE CARRETAS 7 "
"163",NA,NA,"PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA NA "
"164",-3.750849,40.4637653,"CARRETERA DE LA CIUDAD UNIVERSITARIA KM. 1 "
"165",-3.6926219,40.4186147,"PASEO DEL PRADO 1 "
"166",-3.7047709,40.4583905,"CALLE DE BERRUGUETE 51 "
"167",-3.7036582,40.450329,"CALLE DE BRAVO MURILLO 137 "
"168",NA,NA,"CALLE DE FRANCISCO DE ROJAS - CALLE DE NICASIO GALLEGO NA "
"169",-3.6925054,40.3814633,"CAMINO DE PERALES 20 "
"170",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA OESTE) KM. 5800 "
"171",-3.6844995,40.4152606,"PARQUE DEL RETIRO NA "
"172",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA ESTE) KM. 1800 "
"173",-3.6995454,40.4110475,"CALLE DE TORRECILLA DEL LEAL - CALLE DEL OLMO NA "
"174",-3.6052271,40.447758,"AVENIDA DE LUIS ARAGONÉS 4 "
"175",-3.5834878,40.443035,"CALLE DE CAMPEZO 16 "
"176",-3.698831,40.427315,"CALLE DE HORTALEZA - CALLE DE MEJIA LEQUERICA NA "
"177",NA,NA,"CALLE DE LUCHANA - CALLE DE SANTA ENGRACIA NA "
"178",NA,NA,"PASEO DE RECOLETOS 25 "
"179",-3.7088291,40.4718023,"CALLE DE SINESIO DELGADO - CALLE DEL CAPITAN BLANCO ARGIBAY NA "
"180",-3.7718109,40.3363411,"CALLE DE JULIO CARO BAROJA - CAMINO DEL VALDEBEBAS NA "
"181",NA,NA,"CALLE DE ALMAGRO 34 "
"182",-3.5882563,40.4627496,"AVENIDA DE LOGROÑO - CALLE DE TINTIN Y MILU NA "
"183",-3.7002908,40.439006,"CALLE DE SANTA ENGRACIA 106 "
"184",NA,NA,"PASEO DE LAS DELICIAS - PLAZA DE LUCA DE TENA NA "
"185",-3.7649522,40.4006459,"CARRIL ANILLO VERDE CICLISTA KM. 7200 "
"186",-3.6961407,40.4282577,"PLAZA DE ALONSO MARTINEZ 3 "
"187",-3.7788709,40.4585487,"CALLE DE ANA TERESA - CALLE DE ANTONIO SANFIZ NA "
"188",-3.7227934,40.4139658,"CALLE DEL PUENTE DE SEGOVIA NA "
"189",-3.7014311,40.4101573,"CALLE DEL OLIVAR 31 "
"190",NA,NA,"AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS NA "
"191",-3.6386608,40.4115378,"CALLE DE JOSE BERGAMIN 30 "
"192",-3.6790191,40.4366569,"CALLE DEL PRINCIPE DE VERGARA - PLAZA DE LA REPUBLICA DEL ECUADOR NA "
"193",NA,NA,"PASEO DEL PRADO 48 "
"194",-3.6740583,40.4348097,"CALLE DE DIEGO DE LEON - CALLE DE FRANCISCO SILVELA NA "
"195",NA,NA,"CALLE DE LA COALICION - CALLE DE LA UNANIMIDAD NA "
"196",NA,NA,"AVENIDA DE MIGUEL HERNANDEZ - CALLE DE RAFAEL FERNANDEZ HIJICOS NA "
"197",-3.7369994,40.4850232,"CALLE DE GABRIELA MISTRAL - CALLE DEL ARROYO DEL MONTE NA "
"198",-3.6039713,40.4542873,"PARQUE DE JUAN CARLOS I 1 "
"199",-3.6859977,40.4292304,"CALLE DE CLAUDIO COELLO - CALLE DE GOYA NA "
"200",-3.72987,40.4179686,"PASEO DEL EMBARCADERO 6 "
"201",-3.6625715,40.4210745,"CALLE DEL ALCALDE SAINZ DE BARANDA 92 "
"202",NA,NA,"CALLE DE LOS HERMANOS DEL MORAL - CALLE DEL GENERAL RICARDOS NA "
"203",NA,NA,"CALLE DEL DOCTOR ESQUERDO 62 "
"204",NA,NA,"AVENIDA DEL MONASTERIO DE SILOS 14 "
"205",-3.6925117,40.4155232,"PLAZA DE LA LEALTAD 5 "
"206",-3.6262921,40.4394233,"CALLE DE ALCALA - CALLE DE VALENTIN BEATO NA "
"207",NA,NA,"CALLE DE LABAJOS 4 "
"208",-3.703956,40.4255326,"CALLE DE SAN ANDRES - CALLE DEL ESPIRITU SANTO NA "
"209",NA,NA,"CALLE DE ALCALA - CALLE DEL MARQUES DE CASA RIERA NA "
"210",NA,NA,"CALLE DE BERNARDINO OBREGON - CALLE DE PALOS DE LA FRONTERA NA "
"211",NA,NA,"AVENIDA DEL PALACIO - CARRETERA DE PARDO A FUENCARRAL NA "
"212",-3.6457982,40.4446579,"CALLE DE ARTURO SORIA 65 "
